Tempo [s];L-L0 [mm];Força [N];Epsilon;;;L0 [mm]
105,2;0,45846;2774,1;0,0091692;;;
105,43;0,4618;2774,1;0,009236;;;
105,7;0,46514;2774,1;0,0093028;;;
105,95;0,46849;2777,3;0,0093698;;;
106,17;0,47183;2774,1;0,0094366;;;
106,43;0,47517;2774,1;0,0095034;;;
106,68;0,47852;2774,1;0,0095704;;;
106,92;0,48186;2777,3;0,0096372;;;
107,17;0,4852;2777,3;0,009704;;;
107,42;0,48855;2777,3;0,009771;;;
107,67;0,49189;2780,5;0,0098378;;;
107,97;0,49571;2777,3;0,0099142;;;
108,23;0,49953;2780,5;0,0099906;;;
108,5;0,50335;2783,7;0,010067;;;
108,78;0,50717;2780,5;0,0101434;;;
109,07;0,51099;2780,5;0,0102198;;;
109,33;0,51481;2783,7;0,0102962;;;
109,62;0,51863;2780,5;0,0103726;;;
109,9;0,52245;2780,5;0,010449;;;
110,17;0,52627;2783,7;0,0105254;;;
110,45;0,53009;2780,5;0,0106018;;;
110,72;0,53391;2783,7;0,0106782;;;
110,98;0,53773;2787;0,0107546;;;
111,27;0,54155;2783,7;0,010831;;;
111,55;0,54538;2787;0,0109076;;;
111,8;0,5492;2783,7;0,010984;;;
112,08;0,55302;2787;0,0110604;;;
112,42;0,55731;2787;0,0111462;;;
112,73;0,56161;2787;0,0112322;;;
113,03;0,56591;2790,2;0,0113182;;;
113,35;0,57021;2790,2;0,0114042;;;
113,63;0,57451;2790,2;0,0114902;;;
113,97;0,5788;2787;0,011576;;;
114,28;0,5831;2790,2;0,011662;;;
114,6;0,5874;2790,2;0,011748;;;
114,92;0,5917;2793,4;0,011834;;;
115,23;0,596;2793,4;0,01192;;;
115,53;0,60029;2793,4;0,0120058;;;
115,87;0,60459;2793,4;0,0120918;;;
116,18;0,60889;2793,4;0,0121778;;;
116,5;0,61319;2796,6;0,0122638;;;
116,85;0,61796;2796,6;0,0123592;;;
117,2;0,62274;2796,6;0,0124548;;;
117,53;0,62752;2796,6;0,0125504;;;
117,88;0,63229;2796,6;0,0126458;;;
118,25;0,63707;2796,6;0,0127414;;;
118,6;0,64184;2799,8;0,0128368;;;
118,93;0,64662;2799,8;0,0129324;;;
119,28;0,65139;2799,8;0,0130278;;;
119,63;0,65617;2799,8;0,0131234;;;
119,98;0,66094;2803;0,0132188;;;
120,33;0,66572;2803;0,0133144;;;
120,68;0,6705;2803;0,01341;;;
121,03;0,67527;2803;0,0135054;;;
121,42;0,68052;2803;0,0136104;;;
121,82;0,68578;2806,2;0,0137156;;;
122,2;0,69103;2806,2;0,0138206;;;
122,6;0,69628;2806,2;0,0139256;;;
122,98;0,70154;2806,2;0,0140308;;;
123,37;0,70679;2806,2;0,0141358;;;
123,73;0,71204;2809,4;0,0142408;;;
124,13;0,7173;2809,4;0,014346;;;
124,52;0,72255;2809,4;0,014451;;;
124,88;0,7278;2809,4;0,014556;;;
125,3;0,73306;2809,4;0,0146612;;;
125,7;0,73831;2812,6;0,0147662;;;
126,13;0,74404;2812,6;0,0148808;;;
126,57;0,74977;2812,6;0,0149954;;;
126,98;0,7555;2812,6;0,01511;;;
127,4;0,76123;2812,6;0,0152246;;;
127,83;0,76696;2812,6;0,0153392;;;
128,28;0,77269;2815,8;0,0154538;;;
128,7;0,77843;2815,8;0,0155686;;;
129,13;0,78416;2815,8;0,0156832;;;
129,57;0,78989;2819,1;0,0157978;;;
129,98;0,79562;2819,1;0,0159124;;;
130,47;0,80183;2819,1;0,0160366;;;
130,92;0,80803;2819,1;0,0161606;;;
131,37;0,81424;2822,3;0,0162848;;;
131,83;0,82045;2822,3;0,016409;;;
132,3;0,82666;2822,3;0,0165332;;;
132,77;0,83287;2822,3;0,0166574;;;
133,23;0,83908;2825,5;0,0167816;;;
133,7;0,84528;2825,5;0,0169056;;;
134,17;0,85149;2825,5;0,0170298;;;
134,63;0,8577;2828,7;0,017154;;;
135,13;0,86391;2828,7;0,0172782;;;
135,63;0,87059;2828,7;0,0174118;;;
136,13;0,8768;2828,7;0,017536;;;
136,62;0,88349;2828,7;0,0176698;;;
137,12;0,8897;2831,9;0,017794;;;
137,62;0,89638;2831,9;0,0179276;;;
138,12;0,90307;2831,9;0,0180614;;;
138,62;0,90928;2831,9;0,0181856;;;
139,12;0,91549;2835,1;0,0183098;;;
139,6;0,92217;2835,1;0,0184434;;;
140,1;0,92838;2835,1;0,0185676;;;
140,6;0,93507;2838,3;0,0187014;;;
141,1;0,94127;2838,3;0,0188254;;;
141,6;0,94796;2838,3;0,0189592;;;
142,1;0,95465;2841,5;0,019093;;;
142,6;0,96085;2841,5;0,019217;;;
143,1;0,96706;2841,5;0,0193412;;;
143,6;0,97375;2841,5;0,019475;;;
144,1;0,97996;2841,5;0,0195992;;;
144,6;0,98616;2841,5;0,0197232;;;
145,1;0,99333;2844,7;0,0198666;;;
145,6;0,99954;2844,7;0,0199908;;;
146,1;1,0057;2844,7;0,020114;;;
146,6;1,0124;2848;0,020248;;;
147,1;1,0186;2848;0,020372;;;
147,6;1,0253;2851,2;0,020506;;;
148,1;1,0315;2848;0,02063;;;
148,6;1,0373;2851,2;0,020746;;;
149,1;1,0435;2851,2;0,02087;;;
149,6;1,0502;2854,4;0,021004;;;
150,1;1,0564;2851,2;0,021128;;;
150,6;1,0626;2854,4;0,021252;;;
151,1;1,0688;2854,4;0,021376;;;
151,6;1,0755;2857,6;0,02151;;;
152,1;1,0817;2857,6;0,021634;;;
152,6;1,0884;2857,6;0,021768;;;
153,1;1,0946;2857,6;0,021892;;;
153,6;1,1008;2857,6;0,022016;;;
154,1;1,107;2860,8;0,02214;;;
154,6;1,1132;2860,8;0,022264;;;
155,1;1,1194;2860,8;0,022388;;;
155,6;1,1256;2864;0,022512;;;
156,1;1,1318;2864;0,022636;;;
156,6;1,138;2864;0,02276;;;
157,1;1,1442;2867,2;0,022884;;;
157,6;1,1504;2867,2;0,023008;;;
158,1;1,1567;2867,2;0,023134;;;
158,6;1,1629;2867,2;0,023258;;;
159,1;1,1691;2867,2;0,023382;;;
159,6;1,1753;2867,2;0,023506;;;
160,1;1,1815;2870,4;0,02363;;;
160,6;1,1877;2870,4;0,023754;;;
161,1;1,1939;2870,4;0,023878;;;
161,6;1,2001;2873,6;0,024002;;;
162,1;1,2063;2870,4;0,024126;;;
162,6;1,2125;2870,4;0,02425;;;
163,1;1,2187;2873,6;0,024374;;;
163,6;1,2245;2873,6;0,02449;;;
164,1;1,2307;2876,9;0,024614;;;
164,6;1,2369;2876,9;0,024738;;;
165,1;1,2431;2876,9;0,024862;;;
165,6;1,2493;2876,9;0,024986;;;
166,1;1,255;2880,1;0,0251;;;
166,6;1,2612;2880,1;0,025224;;;
167,1;1,2674;2880,1;0,025348;;;
167,6;1,2737;2880,1;0,025474;;;
168,1;1,2794;2880,1;0,025588;;;
168,6;1,2856;2880,1;0,025712;;;
169,1;1,2918;2880,1;0,025836;;;
169,6;1,2975;2883,3;0,02595;;;
170,1;1,3037;2883,3;0,026074;;;
170,6;1,31;2886,5;0,0262;;;
171,1;1,3162;2886,5;0,026324;;;
171,6;1,3219;2886,5;0,026438;;;
172,1;1,3281;2886,5;0,026562;;;
172,6;1,3343;2889,7;0,026686;;;
173,1;1,3405;2889,7;0,02681;;;
173,6;1,3467;2889,7;0,026934;;;
174,1;1,3529;2889,7;0,027058;;;
174,6;1,3587;2889,7;0,027174;;;
175,1;1,3649;2892,9;0,027298;;;
175,6;1,3711;2892,9;0,027422;;;
176,1;1,3773;2892,9;0,027546;;;
176,6;1,3835;2892,9;0,02767;;;
177,1;1,3892;2892,9;0,027784;;;
177,6;1,3954;2892,9;0,027908;;;
178,1;1,4016;2896,1;0,028032;;;
178,6;1,4074;2896,1;0,028148;;;
179,1;1,4136;2896,1;0,028272;;;
179,6;1,4198;2896,1;0,028396;;;
180,1;1,426;2896,1;0,02852;;;
180,6;1,4322;2899,3;0,028644;;;
181,1;1,4379;2899,3;0,028758;;;
181,6;1,4441;2902,5;0,028882;;;
182,1;1,4499;2899,3;0,028998;;;
182,6;1,4561;2902,5;0,029122;;;
183,1;1,4623;2902,5;0,029246;;;
183,6;1,4685;2905,8;0,02937;;;
184,1;1,4742;2902,5;0,029484;;;
184,6;1,4804;2902,5;0,029608;;;
185,1;1,4866;2905,8;0,029732;;;
185,6;1,4924;2905,8;0,029848;;;
186,1;1,4986;2905,8;0,029972;;;
186,6;1,5043;2905,8;0,030086;;;
187,1;1,511;2909;0,03022;;;
187,6;1,5167;2905,8;0,030334;;;
188,1;1,5225;2905,8;0,03045;;;
188,6;1,5287;2905,8;0,030574;;;
189,1;1,5349;2909;0,030698;;;
189,6;1,5406;2909;0,030812;;;
190,1;1,5463;2909;0,030926;;;
190,6;1,5526;2912,2;0,031052;;;
191,1;1,5588;2912,2;0,031176;;;
191,6;1,5645;2912,2;0,03129;;;
192,1;1,5707;2912,2;0,031414;;;
192,6;1,5769;2912,2;0,031538;;;
193,1;1,5831;2915,4;0,031662;;;
193,6;1,5888;2915,4;0,031776;;;
194,1;1,5951;2915,4;0,031902;;;
194,6;1,6008;2915,4;0,032016;;;
195,1;1,607;2915,4;0,03214;;;
195,6;1,6132;2918,6;0,032264;;;
196,1;1,6194;2918,6;0,032388;;;
196,6;1,6251;2918,6;0,032502;;;
197,1;1,6313;2918,6;0,032626;;;
197,6;1,6371;2918,6;0,032742;;;
198,1;1,6433;2918,6;0,032866;;;
198,6;1,649;2921,8;0,03298;;;
199,1;1,6552;2921,8;0,033104;;;
199,6;1,6614;2921,8;0,033228;;;
200,1;1,6672;2921,8;0,033344;;;
200,6;1,6729;2921,8;0,033458;;;
201,1;1,6791;2921,8;0,033582;;;
201,6;1,6853;2925;0,033706;;;
202,1;1,6915;2925;0,03383;;;
202,6;1,6973;2925;0,033946;;;
203,1;1,7035;2925;0,03407;;;
203,6;1,7097;2925;0,034194;;;
204,1;1,7159;2925;0,034318;;;
204,6;1,7216;2928,2;0,034432;;;
205,1;1,7278;2928,2;0,034556;;;
205,6;1,7335;2928,2;0,03467;;;
206,1;1,7398;2928,2;0,034796;;;
206,6;1,746;2928,2;0,03492;;;
207,1;1,7522;2931,4;0,035044;;;
207,6;1,7584;2928,2;0,035168;;;
208,1;1,7641;2931,4;0,035282;;;
208,6;1,7698;2934,6;0,035396;;;
209,1;1,7761;2931,4;0,035522;;;
209,6;1,7823;2931,4;0,035646;;;
210,1;1,7885;2931,4;0,03577;;;
210,6;1,7942;2934,6;0,035884;;;
211,1;1,8004;2931,4;0,036008;;;
211,6;1,8061;2934,6;0,036122;;;
212,1;1,8123;2934,6;0,036246;;;
212,6;1,8186;2934,6;0,036372;;;
213,1;1,8243;2934,6;0,036486;;;
213,6;1,8305;2934,6;0,03661;;;
214,1;1,8367;2937,9;0,036734;;;
214,6;1,8429;2937,9;0,036858;;;
215,1;1,8491;2937,9;0,036982;;;
215,6;1,8553;2937,9;0,037106;;;
216,1;1,8615;2937,9;0,03723;;;
216,6;1,8677;2941,1;0,037354;;;
217,1;1,874;2941,1;0,03748;;;
217,6;1,8802;2941,1;0,037604;;;
218,1;1,8859;2941,1;0,037718;;;
218,6;1,8921;2941,1;0,037842;;;
